Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000734	10	0.909091
OG0000735	10	0.909091
OG0000736	10	0.909091
OG0000737	10	0.909091
OG0000738	10	0.909091
OG0000739	10	0.909091
OG0000740	9	0.818182
OG0000741	10	0.909091
OG0000742	9	0.818182
OG0000743	10	0.909091
OG0000744	10	0.909091
OG0000745	10	0.909091
OG0000746	10	0.909091
OG0000747	10	0.909091
OG0000748	10	0.909091
OG0000749	10	0.909091
OG0000750	9	0.818182
OG0000751	10	0.909091
OG0000752	10	0.909091
OG0000753	10	0.909091
OG0000754	10	0.909091
OG0000755	10	0.909091
OG0000756	10	0.909091
OG0000757	10	0.909091
OG0000758	10	0.909091
OG0000759	10	0.909091
OG0000760	10	0.909091
OG0000761	10	0.909091
OG0000762	10	0.909091
OG0000763	10	0.909091
OG0000764	10	0.909091
OG0000765	10	0.909091
OG0000766	10	0.909091
OG0000767	10	0.909091
OG0000768	10	0.909091
OG0000769	10	0.909091
OG0000770	10	0.909091
OG0000771	9	0.818182
OG0000772	10	0.909091
OG0000773	10	0.909091
OG0000774	10	0.909091
OG0000775	10	0.909091
OG0000776	10	0.909091
OG0000777	10	0.909091
OG0000778	10	0.909091
OG0000779	10	0.909091
OG0000780	10	0.909091
OG0000781	10	0.909091
OG0000782	10	0.909091
OG0000783	10	0.909091
OG0000784	10	0.909091
OG0000785	10	0.909091
OG0000786	10	0.909091
OG0000787	10	0.909091
OG0000788	10	0.909091
OG0000789	10	0.909091
OG0000790	5	0.454545
OG0000791	10	0.909091
OG0000792	10	0.909091
OG0000793	10	0.909091
OG0000794	10	0.909091
OG0000795	10	0.909091
OG0000796	10	0.909091
OG0000797	10	0.909091
OG0000798	8	0.727273
OG0000799	9	0.818182
OG0000800	10	0.909091
OG0000801	10	0.909091
OG0000802	10	0.909091
OG0000803	10	0.909091
OG0000804	10	0.909091
OG0000805	10	0.909091
OG0000806	10	0.909091
OG0000807	10	0.909091
OG0000808	10	0.909091
OG0000809	10	0.909091
OG0000810	10	0.909091
OG0000811	10	0.909091
OG0000812	10	0.909091
OG0000813	10	0.909091
OG0000814	10	0.909091
OG0000815	10	0.909091
OG0000816	10	0.909091
OG0000817	10	0.909091
OG0000818	10	0.909091
OG0000819	10	0.909091
OG0000820	10	0.909091
OG0000821	10	0.909091
OG0000822	10	0.909091
OG0000823	9	0.818182
OG0000824	10	0.909091
OG0000825	10	0.909091
OG0000826	10	0.909091
OG0000827	10	0.909091
OG0000828	10	0.909091
OG0000829	10	0.909091
OG0000830	10	0.909091
OG0000831	10	0.909091
OG0000832	10	0.909091
OG0000833	10	0.909091
OG0000834	10	0.909091
OG0000835	10	0.909091
OG0000836	10	0.909091
OG0000837	10	0.909091
OG0000838	10	0.909091
OG0000839	10	0.909091
OG0000840	10	0.909091
OG0000841	10	0.909091
OG0000842	10	0.909091
OG0000843	10	0.909091
OG0000844	5	0.454545
OG0000845	10	0.909091
OG0000846	10	0.909091
OG0000847	10	0.909091
OG0000848	10	0.909091
OG0000849	10	0.909091
OG0000850	10	0.909091
OG0000851	10	0.909091
OG0000852	10	0.909091
OG0000853	10	0.909091
OG0000854	10	0.909091
OG0000855	10	0.909091
OG0000856	10	0.909091
OG0000857	10	0.909091
OG0000858	10	0.909091
OG0000859	10	0.909091
OG0000860	10	0.909091
OG0000861	10	0.909091
OG0000862	10	0.909091
OG0000863	10	0.909091
OG0000864	5	0.454545
OG0000865	10	0.909091
OG0000866	10	0.909091
OG0000867	10	0.909091
OG0000868	9	0.818182
OG0000869	10	0.909091
OG0000870	10	0.909091
OG0000871	10	0.909091
OG0000872	8	0.727273
OG0000873	10	0.909091
OG0000874	10	0.909091
OG0000875	9	0.818182
OG0000876	10	0.909091
OG0000877	10	0.909091
OG0000878	10	0.909091
OG0000879	10	0.909091
OG0000880	10	0.909091
OG0000881	10	0.909091
OG0000882	9	0.818182
OG0000883	10	0.909091
OG0000884	10	0.909091
OG0000885	10	0.909091
OG0000886	10	0.909091
OG0000887	10	0.909091
OG0000888	10	0.909091
OG0000889	10	0.909091
OG0000890	10	0.909091
OG0000891	10	0.909091
OG0000892	10	0.909091
OG0000893	10	0.909091
OG0000894	10	0.909091
OG0000895	10	0.909091
OG0000896	10	0.909091
OG0000897	10	0.909091
OG0000898	10	0.909091
OG0000899	10	0.909091
OG0000900	10	0.909091
OG0000901	10	0.909091
OG0000902	10	0.909091
OG0000903	10	0.909091
OG0000904	10	0.909091
OG0000905	10	0.909091
OG0000906	10	0.909091
OG0000907	10	0.909091
OG0000908	10	0.909091
OG0000909	10	0.909091
OG0000910	10	0.909091
OG0000911	10	0.909091
OG0000912	10	0.909091
OG0000913	10	0.909091
OG0000914	10	0.909091
OG0000915	10	0.909091
OG0000916	10	0.909091
OG0000917	10	0.909091
